
   WARN  Unable to respect the `PHP_CLI_SERVER_WORKERS` environment variable without the `--no-reload` flag. Only creating a single server.

   INFO  Server running on [http://127.0.0.1:8000].

  Press Ctrl+C to stop the server

  2026-08-12 11:41:46 /temp-login ...................................... ~ 1s
  2026-08-12 11:41:47 /dashboard/templates/create .................. ~ 0.04ms
  2026-08-12 11:41:47 /login ....................................... ~ 0.03ms
  2026-08-12 11:41:48 /auth/login .................................. ~ 0.04ms
  2026-08-12 11:41:48 /storage/auth/background.jpg ................. ~ 0.05ms
  2026-08-12 11:41:48 /auth/build/assets/styles.css ................ ~ 0.23ms
  2026-08-12 11:41:48 /auth/app.css ................................ ~ 0.68ms
  2026-08-12 11:41:48 /auth/build/assets/scripts.js ................ ~ 0.97ms
  2026-08-12 11:41:48 /vendor/livewire/livewire.js?id=e5e7ff8c ..... ~ 1.11ms
  2026-08-12 11:43:16 /temp-login .................................. ~ 0.18ms
  2026-08-12 11:43:16 /dashboard/templates/create .................. ~ 0.04ms
  2026-08-12 11:43:16 /login ....................................... ~ 0.02ms
  2026-08-12 11:43:16 /auth/login .................................. ~ 0.03ms
  2026-08-12 11:43:16 /storage/auth/background.jpg ............... ~ 500.52ms
  2026-08-12 11:43:16 /auth/build/assets/styles.css .............. ~ 500.92ms
  2026-08-12 11:43:16 /auth/app.css .............................. ~ 501.08ms
  2026-08-12 11:43:16 /auth/build/assets/scripts.js .............. ~ 501.31ms
  2026-08-12 11:43:16 /vendor/livewire/livewire.js?id=e5e7ff8c ... ~ 501.42ms
